,gdp_total_season,imports_goods_services_season,household_cons_season,gov_consumption_season,investments_season,gpd_invest_business_households_season,gov_invest_season,change_supply_season,exports_goods_services_season
1995-01-01,116638.0,46462.0,57096.0,28035.0,21525.0,17760.0,3683.0,-266.0,56007.0
1995-04-01,116624.0,49419.0,57519.0,29418.0,24128.0,19911.0,4164.0,-1753.0,56397.0
1995-07-01,114315.0,47036.0,58757.0,26788.0,20393.0,16585.0,3794.0,1498.0,53887.0
1995-10-01,121939.0,49888.0,57947.0,28996.0,25294.0,20081.0,5196.0,2448.0,57007.0
1996-01-01,119460.0,49057.0,60108.0,27538.0,21519.0,17884.0,3546.0,136.0,58588.0
1996-04-01,121240.0,50619.0,60382.0,28951.0,25557.0,20925.0,4588.0,-23.0,56613.0
1996-07-01,118805.0,50211.0,61318.0,26493.0,22808.0,18437.0,4357.0,1419.0,56860.0
1996-10-01,126417.0,53110.0,60910.0,28850.0,27631.0,21934.0,5679.0,1463.0,60465.0
1997-01-01,124032.0,52860.0,62506.0,28428.0,24610.0,20736.0,3757.0,-809.0,61658.0
1997-04-01,126411.0,57283.0,63114.0,29791.0,27420.0,22762.0,4585.0,-60.0,63098.0
1997-07-01,123968.0,56455.0,63866.0,27355.0,23889.0,19441.0,4430.0,2026.0,63189.0
1997-10-01,132540.0,58625.0,63366.0,29823.0,27791.0,22253.0,5502.0,2828.0,67015.0
1998-01-01,131237.0,58803.0,65367.0,29513.0,26969.0,22671.0,4174.0,1371.0,66448.0
1998-04-01,132221.0,61108.0,66593.0,31031.0,27989.0,23285.0,4625.0,95.0,67280.0
1998-07-01,129073.0,60923.0,67813.0,28512.0,25894.0,21415.0,4449.0,1326.0,66616.0
1998-10-01,138087.0,63141.0,67265.0,30955.0,29875.0,24143.0,5668.0,1209.0,71710.0
1999-01-01,136954.0,62844.0,69804.0,30126.0,29318.0,24580.0,4606.0,-1687.0,71794.0
1999-04-01,138371.0,66827.0,70824.0,31617.0,30624.0,25338.0,5212.0,-1281.0,73006.0
1999-07-01,135498.0,67034.0,71564.0,29057.0,28388.0,23197.0,5168.0,1656.0,72022.0
1999-10-01,146497.0,71117.0,70767.0,31831.0,33457.0,27095.0,6284.0,1516.0,79720.0
2000-01-01,144195.0,70750.0,73346.0,30945.0,30378.0,25371.0,4878.0,-1327.0,81133.0
2000-04-01,145137.0,75314.0,73340.0,32786.0,32456.0,27073.0,5287.0,-505.0,81841.0
2000-07-01,140451.0,73629.0,73638.0,30092.0,28559.0,23513.0,5017.0,505.0,81209.0
2000-10-01,150941.0,78292.0,73022.0,32856.0,33235.0,26303.0,6930.0,419.0,89227.0
2001-01-01,148200.0,76008.0,74584.0,32414.0,30843.0,25451.0,5290.0,179.0,85874.0
2001-04-01,149408.0,77855.0,74993.0,34365.0,33074.0,27348.0,5647.0,-48.0,84380.0
2001-07-01,143558.0,75601.0,74965.0,31298.0,28756.0,23275.0,5458.0,2139.0,82078.0
2001-10-01,153077.0,75919.0,74798.0,34301.0,33563.0,26418.0,7161.0,-22.0,86099.0
2002-01-01,148325.0,73719.0,75657.0,33528.0,30470.0,24642.0,5773.0,-1598.0,83792.0
2002-04-01,149889.0,78011.0,75945.0,36108.0,32011.0,25745.0,6251.0,-1157.0,84653.0
2002-07-01,144446.0,76222.0,75889.0,32737.0,27872.0,21793.0,6073.0,741.0,83578.0
2002-10-01,152870.0,78277.0,75338.0,35777.0,30720.0,23340.0,7484.0,672.0,88524.0
2003-01-01,149303.0,75502.0,75974.0,34621.0,28905.0,22953.0,5949.0,-1043.0,86263.0
2003-04-01,149417.0,78916.0,76062.0,36864.0,30919.0,24589.0,6337.0,-1195.0,85395.0
2003-07-01,144122.0,76617.0,75685.0,33474.0,27427.0,21094.0,6344.0,338.0,84003.0
2003-10-01,153626.0,81412.0,74722.0,37035.0,31754.0,24446.0,7386.0,260.0,91168.0
2004-01-01,151286.0,76534.0,76516.0,33967.0,29515.0,23439.0,6071.0,-1036.0,88707.0
2004-04-01,152426.0,83589.0,76548.0,36836.0,30958.0,24908.0,6036.0,-1366.0,92614.0
2004-07-01,147419.0,82570.0,76476.0,33304.0,27282.0,21519.0,5757.0,724.0,92225.0
2004-10-01,157166.0,89615.0,75201.0,37218.0,31479.0,24739.0,6770.0,937.0,101626.0
2005-01-01,152604.0,81675.0,76153.0,34028.0,29438.0,23648.0,5751.0,-1054.0,95577.0
2005-04-01,155847.0,89379.0,77176.0,36960.0,32212.0,26242.0,5928.0,-1217.0,99536.0
2005-07-01,151292.0,87210.0,77771.0,33997.0,29290.0,23498.0,5769.0,217.0,97162.0
2005-10-01,161004.0,92104.0,76396.0,38061.0,32207.0,25530.0,6690.0,1515.0,104579.0
2006-01-01,158241.0,89212.0,76058.0,36917.0,30671.0,24510.0,6137.0,-472.0,104120.0
2006-04-01,161466.0,95641.0,77499.0,39953.0,33836.0,27311.0,6504.0,-1363.0,106537.0
2006-07-01,156216.0,92667.0,77600.0,36581.0,31283.0,25089.0,6170.0,-31.0,103309.0
2006-10-01,166313.0,99642.0,75861.0,41512.0,35969.0,28610.0,7366.0,831.0,111396.0
2007-01-01,163670.0,93903.0,77270.0,38094.0,34368.0,27936.0,6351.0,-1306.0,108823.0
2007-04-01,166693.0,99662.0,78402.0,40966.0,36056.0,29314.0,6700.0,-933.0,111120.0
2007-07-01,162777.0,99001.0,78986.0,38060.0,33389.0,27158.0,6186.0,1205.0,109916.0
2007-10-01,173321.0,114038.0,78110.0,42684.0,47492.0,40145.0,7156.0,315.0,118261.0
2008-01-01,169294.0,99197.0,78487.0,39182.0,36273.0,29182.0,7045.0,-1232.0,115350.0
2008-04-01,172251.0,102912.0,79708.0,42153.0,39171.0,31861.0,7263.0,-1325.0,114635.0
2008-07-01,166679.0,101111.0,79519.0,39544.0,34862.0,28587.0,6218.0,1254.0,112375.0
2008-10-01,172713.0,100556.0,77848.0,44058.0,36429.0,29389.0,6977.0,1583.0,113094.0
2009-01-01,162839.0,90431.0,77286.0,40841.0,34750.0,27637.0,7094.0,-1469.0,101806.0
2009-04-01,164243.0,91555.0,77618.0,44204.0,35818.0,28388.0,7433.0,-2799.0,100543.0
2009-07-01,160301.0,92599.0,78189.0,41742.0,31265.0,24314.0,6946.0,-988.0,102740.0
2009-10-01,168581.0,97650.0,76522.0,45865.0,32307.0,25083.0,7239.0,475.0,110977.0
2010-01-01,162614.0,95051.0,76265.0,41401.0,30866.0,24205.0,6674.0,-224.0,109562.0
2010-04-01,167428.0,102434.0,77562.0,44778.0,33802.0,26449.0,7381.0,1833.0,111318.0
2010-07-01,163009.0,100764.0,78675.0,42054.0,29265.0,22732.0,6530.0,663.0,113154.0
2010-10-01,171710.0,105741.0,77433.0,46009.0,31138.0,24173.0,6980.0,251.0,122484.0
2011-01-01,167112.0,103758.0,76988.0,41311.0,33504.0,26525.0,6974.0,-549.0,119696.0
2011-04-01,170919.0,105530.0,78111.0,44845.0,34583.0,27440.0,7146.0,-226.0,118458.0
2011-07-01,165261.0,104525.0,78545.0,41797.0,30323.0,23736.0,6578.0,530.0,118541.0
2011-10-01,171771.0,105802.0,76512.0,45560.0,32777.0,26242.0,6529.0,-878.0,123362.0
2012-01-01,165212.0,104953.0,76582.0,40931.0,31257.0,25218.0,6015.0,-571.0,122101.0
2012-04-01,169966.0,109112.0,77453.0,44171.0,33038.0,26722.0,6299.0,648.0,123053.0
2012-07-01,163254.0,105693.0,77688.0,41223.0,28355.0,21925.0,6425.0,447.0,121181.0
2012-10-01,169669.0,109029.0,74896.0,45183.0,30270.0,23920.0,6350.0,-1248.0,129368.0
2013-01-01,162340.0,104791.0,74858.0,41119.0,28107.0,22242.0,5859.0,-1653.0,124737.0
2013-04-01,169046.0,110020.0,76210.0,44258.0,30781.0,24590.0,6183.0,1598.0,125382.0
2013-07-01,163746.0,108997.0,76812.0,41227.0,28287.0,22102.0,6180.0,973.0,125363.0
2013-10-01,172121.0,114576.0,75774.0,44933.0,33820.0,27735.0,6084.0,-400.0,132516.0
2014-01-01,164429.0,109132.0,74607.0,41345.0,28930.0,23170.0,5748.0,-69.0,128787.0
2014-04-01,171484.0,113090.0,76592.0,44605.0,30406.0,24371.0,6028.0,1078.0,130948.0
2014-07-01,165622.0,113209.0,77018.0,41623.0,26999.0,21078.0,5917.0,1001.0,132058.0
2014-10-01,175220.0,117271.0,76573.0,44913.0,31723.0,25951.0,5770.0,-238.0,139316.0
2015-01-01,167551.0,115537.0,76060.0,41412.0,23396.0,17260.0,6136.0,-1248.0,143468.0
2015-04-01,175063.0,151535.0,78282.0,44356.0,63448.0,57225.0,6223.0,1460.0,139052.0
2015-07-01,169692.0,122698.0,78757.0,41704.0,30129.0,24119.0,6010.0,1908.0,139892.0
2015-10-01,177702.0,128824.0,77717.0,44882.0,35560.0,29349.0,6211.0,426.0,147941.0
2016-01-01,171133.0,121686.0,76767.0,41882.0,34569.0,28561.0,6008.0,-2113.0,141714.0
2016-04-01,179132.0,128482.0,78681.0,45010.0,37303.0,31172.0,6131.0,2046.0,144574.0
2016-07-01,173299.0,126990.0,79669.0,42206.0,33181.0,26936.0,6245.0,2407.0,142826.0
2016-10-01,181567.0,131182.0,79179.0,45582.0,36369.0,30006.0,6363.0,865.0,150754.0
2017-01-01,176597.0,128879.0,78196.0,42248.0,35905.0,29863.0,6041.0,-1670.0,150831.0
2017-04-01,184553.0,134298.0,80751.0,45336.0,37926.0,32001.0,5924.0,2390.0,152485.0
2017-07-01,178213.0,136092.0,81910.0,42697.0,35247.0,28818.0,6428.0,1666.0,152756.0
2017-10-01,186294.0,140534.0,80137.0,46016.0,38291.0,31553.0,6739.0,891.0,161488.0
2018-01-01,181209.0,137340.0,80441.0,43133.0,38279.0,32241.0,6036.0,-988.0,157676.0
2018-04-01,189583.0,141793.0,82718.0,46156.0,40290.0,34103.0,6186.0,2296.0,159939.0
2018-07-01,182149.0,141823.0,83156.0,43474.0,34719.0,28303.0,6415.0,2233.0,160366.0
2018-10-01,189848.0,144336.0,81626.0,46573.0,39361.0,32382.0,6979.0,319.0,166312.0
2019-01-01,184532.0,139755.0,80725.0,44321.0,39927.0,33443.0,6483.0,817.0,158462.0
2019-04-01,193254.0,146464.0,83556.0,47301.0,42444.0,35850.0,6593.0,2428.0,163994.0
2019-07-01,185933.0,147817.0,83856.0,44894.0,38448.0,31991.0,6456.0,2671.0,163803.0
2019-10-01,193596.0,149536.0,82696.0,47824.0,41252.0,34672.0,6578.0,546.0,170791.0
2020-01-01,183956.0,140417.0,79700.0,44956.0,41534.0,35020.0,6510.0,-1584.0,159695.0
2020-04-01,176152.0,129293.0,73001.0,47135.0,39124.0,32374.0,6757.0,1704.0,144412.0
2020-07-01,179884.0,140539.0,79754.0,46118.0,36634.0,30052.0,6584.0,693.0,157141.0
2020-10-01,187905.0,145609.0,77325.0,49038.0,40523.0,33079.0,7452.0,-844.0,167428.0
2021-01-01,181960.0,139527.0,73920.0,46397.0,41364.0,34572.0,6798.0,-419.0,160294.0
2021-04-01,196983.0,145797.0,81141.0,51046.0,42702.0,35937.0,6756.0,737.0,167460.0
2021-07-01,192233.0,152132.0,85171.0,47858.0,37196.0,30690.0,6504.0,2298.0,171998.0
2021-10-01,201793.0,152601.0,83009.0,51400.0,41151.0,34199.0,6947.0,294.0,178890.0
2022-01-01,193630.0,146603.0,83777.0,47482.0,40961.0,34551.0,6403.0,381.0,167789.0
2022-04-01,207149.0,153424.0,86785.0,51305.0,44202.0,37845.0,6327.0,818.0,177896.0
2022-07-01,198002.0,154543.0,87516.0,48671.0,38058.0,31611.0,6440.0,1441.0,177103.0
2022-10-01,207629.0,158155.0,86330.0,52311.0,42110.0,35536.0,6553.0,-1013.0,186456.0
2023-01-01,197186.0,151859.0,85923.0,48767.0,43438.0,37118.0,6294.0,-2009.0,173197.0
2023-04-01,206848.0,154949.0,87108.0,52872.0,45564.0,39048.0,6484.0,-567.0,177427.0
2023-07-01,196434.0,148690.0,86538.0,50968.0,38623.0,31938.0,6681.0,-1118.0,170334.0
2023-10-01,206850.0,152256.0,86235.0,54270.0,40938.0,34223.0,6705.0,615.0,177420.0
2024-01-01,195724.0,146384.0,86847.0,50442.0,41762.0,,,-2614.0,165917.0
